1,2
2,4
3,2
4,4
5,4
6,3
7,4
8,5
9,3
10,3
11,1
12,5
13,4
14,2
15,2
16,1
17,1
18,5
19,1
20,3
21,5
22,1
23,1
24,4
25,3
26,2
27,4
28,2
29,4
30,1
31,5
32,4
33,4
34,1
35,2
36,1
37,4
38,4
39,2
40,5
41,3
42,2
43,2
44,4
45,3
46,4
47,4
48,1
49,5
50,1
51,3
52,4
53,1
54,1
55,2
56,5
57,5
58,2
59,3
60,5
61,5
62,2
63,4
64,3
65,5
66,3
67,4
68,3
69,2
70,4
71,3
72,5
73,4
74,4
75,2
76,4
77,5
78,1
79,4
80,3
81,4
82,4
83,2
84,1
85,3
86,2
87,5
88,3
89,5
90,2
91,2
92,4
93,2
94,1
95,5
96,4
97,3
98,2
99,3
100,4
101,4
102,1
103,5
104,1
105,1
106,2
107,5
108,4
109,3
110,1
111,1
112,4
113,3
114,4
115,2
116,3
117,2
118,4
119,5
120,1
121,5
122,3
123,5
124,1
125,5
126,4
127,3
128,5
129,2
130,1
131,2
132,4
133,3
134,2
135,2
136,5
137,1
138,5
139,3
140,4
141,5
142,2
143,1
144,5
145,4
146,4
147,5
148,4
149,1
150,4
151,2
152,5
153,4
154,1
155,1
156,5
157,1
158,2
159,2
160,2
161,4
162,3
163,2
164,3
165,4
166,4
167,5
168,1
169,1
170,1
171,2
172,2
173,5
174,3
175,5
176,1
177,3
178,2
179,3
180,4
181,2
182,3
183,5
184,2
185,1
186,1
187,4
188,4
189,3
190,1
191,2
192,3
193,1
194,5
195,4
196,4
197,1
198,3
199,5
200,1
201,4
202,4
203,5
204,5
205,3
206,5
207,4
208,3
209,2
210,3
211,5
212,1
213,2
214,1
215,4
216,2
217,2
218,1
219,2
220,2
221,2
222,1
223,2
224,1
225,4
226,2
227,2
228,1
229,1
230,1
231,5
232,5
233,1
234,4
235,5
236,1
237,5
238,5
239,1
240,1
241,2
242,1
243,5
244,5
245,1
246,2
247,3
248,5
249,4
250,4
251,5
252,3
253,4
254,3
255,3
256,1
257,2
258,5
259,5
260,1
261,4
262,5
263,1
264,5
265,4
266,5
267,5
268,1
269,3
270,2
271,2
272,3
273,5
274,2
275,4
276,4
277,3
278,5
279,4
280,4
281,4
282,2
283,3
284,2
285,3
286,1
287,2
288,4
289,3
290,5
291,2
292,4
293,3
294,3
295,5
296,2
297,4
298,5
299,1
300,3
301,4
302,2
303,3
304,1
305,3
306,4
307,1
308,4
309,3
310,3
311,2
312,3
313,4
314,1
315,2
316,5
317,1
318,4
319,5
320,5
321,2
322,2
323,2
324,2
325,2
326,3
327,2
328,4
329,4
330,4
331,3
332,3
333,2
334,1
335,5
336,1
337,5
338,5
339,3
340,5
341,3
342,4
343,5
344,2
345,2
346,2
347,2
348,2
349,4
350,1
351,3
352,5
353,4
354,5
355,3
356,2
357,1
358,3
359,4
360,1
